time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
2.001e-07,2.5e+19,45574.588605446,45574.588605446,2.1386114073406e-12,1e-25,30
2.002e-07,2.5e+19,45819.564211677,45819.564211677,2.1386114073406e-12,1e-25,30
2.003e-07,2.5e+19,46065.856627327,46065.856627327,2.1386114073406e-12,1e-25,30
2.004e-07,2.5e+19,46313.472930598,46313.472930598,2.1386114073406e-12,1e-25,30
2.005e-07,2.5e+19,46562.42023774,46562.42023774,2.1386114073406e-12,1e-25,30
2.006e-07,2.5e+19,46812.705703256,46812.705703256,2.1386114073406e-12,1e-25,30
2.007e-07,2.5e+19,47064.336520104,47064.336520104,2.1386114073406e-12,1e-25,30
2.008e-07,2.5e+19,47317.319919908,47317.319919908,2.1386114073406e-12,1e-25,30
2.009e-07,2.5e+19,47571.663173163,47571.663173163,2.1386114073406e-12,1e-25,30
2.01e-07,2.5e+19,47827.373589445,47827.373589445,2.1386114073406e-12,1e-25,30
2.011e-07,2.5e+19,48084.458517621,48084.458517621,2.1386114073406e-12,1e-25,30
2.012e-07,2.5e+19,48342.92534606,48342.92534606,2.1386114073406e-12,1e-25,30
2.013e-07,2.5e+19,48602.781502846,48602.781502846,2.1386114073406e-12,1e-25,30
2.014e-07,2.5e+19,48864.03445599,48864.03445599,2.1386114073406e-12,1e-25,30
2.015e-07,2.5e+19,49126.691713646,49126.691713646,2.1386114073406e-12,1e-25,30
2.016e-07,2.5e+19,49390.760824326,49390.760824326,2.1386114073406e-12,1e-25,30
2.017e-07,2.5e+19,49656.249377119,49656.249377119,2.1386114073406e-12,1e-25,30
2.018e-07,2.5e+19,49923.165001905,49923.165001905,2.1386114073406e-12,1e-25,30
2.019e-07,2.5e+19,50191.515369578,50191.515369578,2.1386114073406e-12,1e-25,30
2.02e-07,2.5e+19,50461.308192264,50461.308192264,2.1386114073406e-12,1e-25,30
2.021e-07,2.5e+19,50732.551223546,50732.551223546,2.1386114073406e-12,1e-25,30
2.022e-07,2.5e+19,51005.252258683,51005.252258683,2.1386114073406e-12,1e-25,30
2.023e-07,2.5e+19,51279.419134834,51279.419134834,2.1386114073406e-12,1e-25,30
2.024e-07,2.5e+19,51555.059731289,51555.059731289,2.1386114073406e-12,1e-25,30
2.025e-07,2.5e+19,51832.181969686,51832.181969686,2.1386114073406e-12,1e-25,30
2.026e-07,2.5e+19,52110.793814249,52110.793814249,2.1386114073406e-12,1e-25,30
2.027e-07,2.5e+19,52390.903272009,52390.903272009,2.1386114073406e-12,1e-25,30
2.028e-07,2.5e+19,52672.518393037,52672.518393037,2.1386114073406e-12,1e-25,30
2.029e-07,2.5e+19,52955.647270677,52955.647270677,2.1386114073406e-12,1e-25,30
2.03e-07,2.5e+19,53240.298041774,53240.298041774,2.1386114073406e-12,1e-25,30
2.031e-07,2.5e+19,53526.478886913,53526.478886913,2.1386114073406e-12,1e-25,30
2.032e-07,2.5e+19,53814.198030652,53814.198030652,2.1386114073406e-12,1e-25,30
2.033e-07,2.5e+19,54103.463741758,54103.463741758,2.1386114073406e-12,1e-25,30
2.034e-07,2.5e+19,54394.284333442,54394.284333442,2.1386114073406e-12,1e-25,30
